Ticker,Name
WHIRLPOOL,WHIRLPOOL OF INDIA LTD.
KGDENIM,KG DENIM LTD.
KINETICENG,KINETIC ENGINEERING LTD.
KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$
KIRLOSIND,Kirloskar Industries Ltd
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.
ENVAIREL,ENVAIR ELECTRODYNE LTD.
KOTAKBANK,KOTAK MAHINDRA BANK LTD.
MAVIIND,MAVI INDUSTRIES LTD.
KSBPUMPS,KSB PUMPS LTD.
LGBBROSLTD,L.G.BALAKRISHNAN &amp; BROS.LTD.
TRENT,TRENT LTD.
LAXMIMACH,LAKSHMI MACHINE WORKS LTD.
LICHSGFIN,LIC HOUSING FINANCE LTD.
UTTAMVALUE,UTTAM VALUE STEELS LTD.
LML,LML LTD.
LOKHSG,LOK HOUSING &amp; CONSTRUCTIONS LTD.-$
LUPIN,LUPIN LTD.
LYKALABS,LYKA LABS LTD.
RAMCOCEM,The Ramco Cements Limited
MAFATIND,MAFATLAL INDUSTRIES LTD.-$
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.
MAJESAUT,MAJESTIC AUTO LTD.-$
MANALIPETC,MANALI PETROCHEMICAL LTD.
MFSL,Max Financial Services Ltd
MIDINDIA,MID INDIA INDUSTRIES LTD.
MIRCELECTR,MIRC ELECTRONICS LTD.
CENTENKA,CENTURY ENKA LTD.
LORDSCHLO,LORDS CHLORO ALKALI LTD.
SPICEJET,SPICEJET LTD.
MOREPENLAB,MOREPEN LABORATORIES LTD.
MRF,MRF LTD.
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.
NCC,NCC Limited
VEDL,Vedanta Limited
NAHARSPING,NAHAR SPINNING MILLS LTD.
NATPEROX,NATIONAL PEROXIDE LTD.
GRASIM,GRASIM INDUSTRIES LTD.
NEPCMICON,NEPC INDIA LTD.
PEL,PIRAMAL ENTERPRISES LTD.
ABIRLANUVO,ADITYA BIRLA NUVO LTD.
NIITLTD,NIIT LTD.
JAYKAY,JAYKAY ENTERPRISES LTD.
NIRLON,NIRLON LTD.
ONGC,OIL AND NATURAL GAS CORPORATION LTD.
OILCOUNTUB,OIL COUNTRY TUBULAR LTD.
ORIENTHOT,ORIENTAL HOTELS LTD.
ORIENTBANK,ORIENTAL BANK OF COMMERCE
OSWALAGRO,OSWAL AGRO MILLS LTD.
INDSUCR,INDIAN SUCROSE LTD.
PANCM,PANYAM CEMENTS &amp; MINERAL INDUSTRIES LTD.
RELIANCE,RELIANCE INDUSTRIES LTD.
PILITA,Pil Italica Lifestyle Ltd
PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.
